,weightclass,R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
0,Flyweight,Demetrious Johnson,Henry Cejudo,-470.0,375,21.27659574,375.0,8/4/2018,"Los Angeles, California, USA", USA,Blue,True,Flyweight,MALE,5,0,2,0,46.375,0.4425,0.125,2.0,0.53875,4,2,21,1,0,1,4,1,0,0,6,Orthodox,162.56,162.56,135,0,13,0,64.23529412,0.548823529,0.705882353,4.294117647,0.472941176,13,2,64,13,0,1,7,2,5,0,15,Orthodox,160.02,167.64,125,31,31,0,-11,-9,-9,0,-43,-12,-1,-5,2.54,-5.08,0,-17.86029412,-0.580882353,-2.294117647,0,1,1.0,0.0,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,1.0,,Red,S-DEC,,5.0,5:00,1500.0,215.0,715.0,180.0,1845.0,300.0,800.0
1,Flyweight,Demetrious Johnson,Ray Borg,-1000.0,650,10.0,650.0,10/7/2017,"Las Vegas, Nevada, USA", USA,Red,True,Flyweight,MALE,5,0,2,0,19.42857143,0.522857143,1.571428571,2.714285714,0.581428571,3,2,19,0,0,0,3,0,2,0,5,Orthodox,162.56,160.02,135,0,12,0,64.25,0.53375,0.625,4.0625,0.44,12,2,59,12,0,1,7,2,4,0,14,Orthodox,160.02,167.64,125,31,24,0,-10,-9,-9,0,-40,-12,-2,-2,2.54,-7.62,7,-44.82142857,0.946428571,-1.348214286,0,1,3.0,0.0,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,3.0,,Red,SUB,Armbar,5.0,3:15,1395.0,170.0,1800.0,180.0,1400.0,215.0,1700.0
2,Flyweight,Demetrious Johnson,Wilson Reis,-1100.0,700,9.090909091,700.0,4/15/2017,"Kansas City, Missouri, USA", USA,Red,True,Flyweight,MALE,5,0,3,0,25.625,0.3875,0.625,4.375,0.48375,3,2,20,0,0,0,4,0,2,0,6,Southpaw,162.56,165.1,125,0,11,0,61.33333333,0.530666667,0.6,4.266666667,0.436,11,2,56,11,0,1,7,2,3,0,13,Orthodox,160.02,167.64,125,30,32,0,-8,-8,-7,0,-36,-11,-2,-1,2.54,-2.54,-2,-35.70833333,0.025,0.108333333,0,1,3.0,0.0,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,3.0,,Red,SUB,Armbar,3.0,4:49,889.0,105.0,1200.0,500.0,800.0,155.0,2000.0
3,Flyweight,Demetrious Johnson,Tim Elliott,-900.0,600,11.11111111,600.0,12/3/2016,"Las Vegas, Nevada, USA", USA,Red,True,Flyweight,MALE,5,3,0,0,56.33333333,0.498333333,1.166666667,3.166666667,0.583333333,2,4,16,0,0,0,2,0,0,0,2,Southpaw,170.18,167.64,135,0,10,0,63.71428571,0.534285714,0.428571429,4.214285714,0.416428571,10,2,51,10,0,1,6,2,3,0,12,Orthodox,160.02,167.64,125,30,29,-3,-10,-8,-10,-2,-35,-10,-2,-3,10.16,0.0,1,-7.38095238,0.738095238,-1.047619047,0,1,,0.0,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,Red,U-DEC,,5.0,5:00,1500.0,150.0,1400.0,185.0,2000.0,259.0,1600.0
4,Flyweight,Demetrious Johnson,Henry Cejudo,-340.0,280,29.41176471,280.0,4/23/2016,"Las Vegas, Nevada, USA", USA,Red,True,Flyweight,MALE,5,0,4,0,56.75,0.46,0.25,2.25,0.3925,4,0,12,0,0,1,3,0,0,0,4,Orthodox,162.56,162.56,135,0,9,0,67.0,0.526923077,0.461538462,4.538461538,0.448461538,9,2,50,9,0,1,6,1,3,0,11,Orthodox,160.02,167.64,125,29,29,0,-5,-5,-7,2,-38,-9,-1,-3,2.54,-5.08,0,-10.25,-0.211538462,-2.288461538,0,1,2.0,0.0,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,2.0,,Red,KO/TKO,Knees,1.0,2:49,169.0,109.0,400.0,410.0,2400.0,445.0,1340.0
5,Flyweight,Demetrious Johnson,John Dodson,-560.0,430,17.85714286,430.0,9/5/2015,"Las Vegas, Nevada, USA", USA,Red,True,Flyweight,MALE,5,0,3,0,37.57142857,0.357142857,0.0,0.857142857,0.344285714,3,1,17,2,0,0,2,3,0,1,6,Orthodox,160.02,167.64,135,0,8,0,65.25,0.528333333,0.5,4.583333333,0.460833333,8,2,45,8,0,1,5,1,3,0,10,Orthodox,160.02,167.64,125,29,30,0,-5,-5,-4,1,-28,-6,3,-3,0.0,0.0,-1,-27.67857143,-0.5,-3.726190476,0,1,1.0,0.0,,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,1.0,,Red,U-DEC,,5.0,5:00,1500.0,-124.0,1000.0,329.0,2000.0,550.0,575.0
6,Flyweight,Demetrious Johnson,Kyoji Horiguchi,-980.0,640,10.20408163,640.0,4/25/2015,"Montreal, Quebec, Canada", Canada,Red,True,Flyweight,MALE,5,0,4,0,42.5,0.54,0.0,1.0,0.4575,4,0,9,0,0,0,2,2,0,0,4,Orthodox,165.1,167.64,125,0,7,0,65.18181818,0.527272727,0.454545455,3.727272727,0.445454545,7,2,40,7,0,1,5,1,2,0,9,Orthodox,160.02,167.64,125,28,24,0,-3,-3,-5,2,-31,-7,1,-2,5.08,0.0,4,-22.68181818,-0.454545455,-2.727272727,0,1,7.0,0.0,,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,7.0,,Red,SUB,Armbar,5.0,4:59,1499.0,130.0,1250.0,140.0,2300.0,600.0,825.0
7,Flyweight,Demetrious Johnson,Chris Cariaso,-1450.0,1150,6.896551724,1150.0,9/27/2014,"Las Vegas, Nevada, USA", USA,Red,True,Flyweight,MALE,5,0,3,0,52.6,0.45,0.6,1.0,0.391,3,3,29,0,0,2,4,1,0,0,7,Southpaw,160.02,160.02,125,0,6,0,69.0,0.518,0.3,4.0,0.39,6,2,38,6,0,1,5,1,1,0,8,Orthodox,160.02,167.64,125,28,33,0,-3,-3,-1,-1,-9,-6,0,-1,0.0,-7.62,-5,-16.4,0.3,-3.0,0,1,8.0,0.0,,,,,,,,,,,,0.0,4.0,,,,,,,,,,,,8.0,,Red,SUB,Kimura,2.0,2:29,449.0,120.0,1500.0,220.0,2000.0,260.0,1500.0
8,Flyweight,Demetrious Johnson,Ali Bagautinov,-690.0,560,14.49275362,560.0,6/14/2014,"Vancouver, British Columbia, Canada", Canada,Red,True,Flyweight,MALE,5,0,3,0,43.33333333,0.453333333,0.666666667,3.333333333,0.45,3,0,9,0,0,0,2,1,0,0,3,Orthodox,162.56,165.1,125,0,5,0,61.88888889,0.507777778,0.333333333,4.444444444,0.433333333,5,2,33,5,0,1,4,1,1,0,7,Orthodox,160.02,167.64,125,27,29,0,-2,-2,-4,2,-24,-5,0,-1,2.54,-2.54,-2,-18.55555556,0.333333334,-1.111111111,0,1,4.0,0.0,,,,,,,,,,,,0.0,4.0,,,,,,,,,,,,4.0,,Red,U-DEC,,5.0,5:00,1500.0,-105.0,850.0,311.0,1450.0,460.0,1150.0
9,Flyweight,Demetrious Johnson,Joseph Benavidez,-135.0,125,74.07407407,125.0,12/14/2013,"Sacramento, California, USA", USA,Red,True,Flyweight,MALE,5,0,3,0,44.28571429,0.347142857,0.428571429,1.142857143,0.212857143,3,1,19,1,0,0,3,3,0,0,6,Southpaw,162.56,165.1,125,0,4,0,68.75,0.50875,0.375,5.0,0.4875,4,2,32,4,0,1,4,0,1,0,6,Orthodox,160.02,167.64,125,27,29,0,-1,-1,0,1,-13,-3,3,-1,2.54,-2.54,-2,-24.46428571,0.053571429,-3.857142857,0,1,1.0,0.0,,,,,,,,,,,,0.0,7.0,,,,,,,,,,,,1.0,,Red,KO/TKO,Punch,1.0,2:08,128.0,-110.0,360.0,1050.0,800.0,1100.0,325.0
10,Flyweight,Demetrious Johnson,John Moraga,-420.0,375,23.80952381,375.0,7/27/2013,"Seattle, Washington, USA", USA,Red,True,Flyweight,MALE,5,0,2,0,30.0,0.44,0.5,1.0,0.5,2,0,4,0,0,0,0,1,1,0,2,Orthodox,167.64,167.64,125,0,3,0,69.0,0.481428571,0.0,4.0,0.414285714,3,2,27,3,0,1,4,0,0,0,5,Orthodox,160.02,167.64,125,26,29,0,-1,-1,-3,2,-23,-3,1,1,7.62,0.0,-3,-39.0,0.5,-3.0,0,1,4.0,0.0,,,,,,,,,,,,0.0,7.0,,,,,,,,,,,,4.0,,Red,SUB,Armbar,5.0,3:43,1423.0,-180.0,950.0,625.0,850.0,475.0,800.0
